stimCategory,responseKey,condition,subject,trialNum
1,1,4,8,1
2,2,4,8,2
1,1,2,8,3
1,1,3,8,4
2,2,2,8,5
2,1,3,8,6
2,1,4,8,7
1,1,1,8,8
2,1,3,8,9
1,1,2,8,10
2,2,1,8,11
1,2,3,8,12
1,1,1,8,13
1,1,1,8,14
1,1,4,8,15
1,1,2,8,16
2,2,2,8,17
1,2,3,8,18
1,1,3,8,19
1,1,2,8,20
2,2,1,8,21
2,1,3,8,22
2,2,1,8,23
1,1,4,8,24
2,2,1,8,25
1,1,1,8,26
1,1,4,8,27
1,1,3,8,28
1,1,2,8,29
1,2,3,8,30
2,2,4,8,31
1,2,3,8,32
2,2,2,8,33
1,1,2,8,34
1,1,2,8,35
1,1,2,8,36
2,1,3,8,37
1,1,4,8,38
1,1,2,8,39
2,2,4,8,40
1,1,4,8,41
2,2,4,8,42
1,1,4,8,43
2,1,1,8,44
1,1,2,8,45
1,1,1,8,46
1,2,3,8,47
2,1,3,8,48
1,2,3,8,49
2,2,1,8,50
2,2,3,8,51
1,1,4,8,52
1,1,3,8,53
2,2,3,8,54
2,2,4,8,55
2,2,1,8,56
1,1,2,8,57
2,1,1,8,58
2,2,1,8,59
2,2,3,8,60
1,2,1,8,61
2,2,4,8,62
2,2,2,8,63
1,1,4,8,64
2,1,3,8,65
1,1,4,8,66
2,2,2,8,67
2,2,2,8,68
1,1,2,8,69
2,2,4,8,70
2,2,1,8,71
1,1,3,8,72
2,2,1,8,73
1,1,1,8,74
2,1,3,8,75
2,2,2,8,76
1,1,4,8,77
1,1,1,8,78
1,1,1,8,79
2,2,2,8,80
2,1,3,8,81
1,1,4,8,82
1,1,1,8,83
1,1,1,8,84
2,1,4,8,85
1,1,3,8,86
1,2,3,8,87
2,1,4,8,88
1,1,2,8,89
1,1,3,8,90
1,2,1,8,91
2,1,3,8,92
1,2,3,8,93
1,1,2,8,94
2,2,2,8,95
2,2,2,8,96
2,2,2,8,97
2,2,3,8,98
1,1,4,8,99
2,2,2,8,100
1,1,2,8,101
2,2,4,8,102
2,2,1,8,103
2,2,3,8,104
1,2,3,8,105
2,2,1,8,106
1,1,4,8,107
2,2,1,8,108
2,2,1,8,109
2,2,2,8,110
2,2,4,8,111
2,2,2,8,112
2,2,2,8,113
1,1,2,8,114
1,2,4,8,115
1,2,3,8,116
1,1,3,8,117
1,2,4,8,118
2,2,2,8,119
2,2,2,8,120
1,1,1,8,121
2,2,2,8,122
2,2,2,8,123
2,2,4,8,124
2,2,1,8,125
2,1,3,8,126
2,1,1,8,127
2,2,2,8,128
2,2,4,8,129
2,2,3,8,130
2,2,4,8,131
2,2,1,8,132
2,2,1,8,133
1,2,3,8,134
1,1,2,8,135
1,1,2,8,136
1,1,1,8,137
2,2,3,8,138
1,1,2,8,139
1,1,4,8,140
2,2,1,8,141
2,2,4,8,142
1,1,1,8,143
1,2,3,8,144
2,2,2,8,145
1,1,1,8,146
1,1,2,8,147
2,2,2,8,148
1,1,4,8,149
2,2,4,8,150
2,2,4,8,151
1,2,4,8,152
2,1,1,8,153
2,2,1,8,154
1,1,3,8,155
2,1,3,8,156
1,1,2,8,157
1,1,3,8,158
1,1,1,8,159
1,2,3,8,160
1,1,1,8,161
2,1,3,8,162
2,2,4,8,163
1,1,4,8,164
1,1,1,8,165
1,2,3,8,166
1,1,2,8,167
1,1,1,8,168
2,2,4,8,169
1,1,2,8,170
2,1,3,8,171
2,2,3,8,172
2,1,3,8,173
2,1,3,8,174
2,1,1,8,175
2,1,2,8,176
2,2,3,8,177
2,2,4,8,178
2,2,1,8,179
2,2,1,8,180
2,2,4,8,181
1,1,4,8,182
2,2,1,8,183
2,2,4,8,184
2,2,2,8,185
1,1,2,8,186
2,2,2,8,187
2,2,4,8,188
2,1,1,8,189
1,1,4,8,190
2,2,4,8,191
2,1,4,8,192
1,1,4,8,193
2,2,2,8,194
2,2,1,8,195
1,1,4,8,196
2,2,1,8,197
2,1,3,8,198
1,1,1,8,199
2,2,3,8,200
